station_id,city,charger_type,total_ports,date,sessions,total_kwh_delivered,avg_session_time_mins,revenue_generated,downtime_mins
STN001,Pune,Slow,3,2025-02-24,28,329.96,75.6,10613.17,23
STN001,Pune,Slow,3,2025-02-25,21,251.1,68.1,8098.99,35
STN001,Pune,Slow,3,2025-02-26,17,159.37,75.7,6203.15,39
STN001,Pune,Slow,3,2025-02-27,15,176.7,78.2,5976.9,34
STN001,Pune,Slow,3,2025-02-28,28,286.94,77.2,10856.96,66
STN001,Pune,Slow,3,2025-03-01,29,288.61,63.3,10165.72,50
STN001,Pune,Slow,3,2025-03-02,29,278.15,66.6,10588.29,38
STN001,Pune,Slow,3,2025-03-03,15,136.25,61.9,4577.13,52
STN001,Pune,Slow,3,2025-03-04,19,174.42,77.6,6777.3,21
STN001,Pune,Slow,3,2025-03-05,22,241.52,75.1,8749.5,50
STN001,Pune,Slow,3,2025-03-06,18,199.07,68.2,6710.8,24
STN001,Pune,Slow,3,2025-03-07,15,173.73,77.5,5535.54,30
STN001,Pune,Slow,3,2025-03-08,25,292.23,60.2,9576.5,67
STN001,Pune,Slow,3,2025-03-09,28,264.8,68.1,10931.62,67
STN001,Pune,Slow,3,2025-03-10,22,219.42,72.8,7816.66,58
STN001,Pune,Slow,3,2025-03-11,21,217.29,64.6,7816.43,26
STN001,Pune,Slow,3,2025-03-12,28,312.78,66.9,10323.52,63
STN001,Pune,Slow,3,2025-03-13,29,331.39,69.0,11559.45,32
STN001,Pune,Slow,3,2025-03-14,22,227.35,64.5,7021.89,32
STN001,Pune,Slow,3,2025-03-15,19,211.41,70.2,7243.55,61
STN001,Pune,Slow,3,2025-03-16,21,199.73,78.2,6307.82,32
STN001,Pune,Slow,3,2025-03-17,21,243.19,65.7,7023.9,48
STN001,Pune,Slow,3,2025-03-18,27,261.19,77.1,10269.59,46
STN001,Pune,Slow,3,2025-03-19,28,320.11,69.3,10476.68,66
STN001,Pune,Slow,3,2025-03-20,27,271.65,73.6,9030.95,69
STN001,Pune,Slow,3,2025-03-21,29,347.91,68.5,10808.0,26
STN001,Pune,Slow,3,2025-03-22,25,273.49,78.5,8458.1,66
STN001,Pune,Slow,3,2025-03-23,23,243.96,69.9,7566.02,59
STN001,Pune,Slow,3,2025-03-24,22,229.33,78.3,7217.07,68
STN001,Pune,Slow,3,2025-03-25,16,177.71,77.8,5068.75,27
STN001,Pune,Slow,3,2025-03-26,27,281.3,62.7,8447.27,26
STN001,Pune,Slow,3,2025-03-27,15,177.96,74.6,5530.62,68
STN001,Pune,Slow,3,2025-03-28,21,194.7,66.3,6890.56,52
STN001,Pune,Slow,3,2025-03-29,15,140.69,61.5,5310.07,32
STN001,Pune,Slow,3,2025-03-30,18,210.81,75.6,5652.43,65
STN001,Pune,Slow,3,2025-03-31,17,201.46,68.0,5760.46,37
STN001,Pune,Slow,3,2025-04-01,25,292.06,62.8,7783.93,67
STN001,Pune,Slow,3,2025-04-02,16,180.65,74.6,6250.23,67
STN001,Pune,Slow,3,2025-04-03,20,182.58,64.8,6985.54,58
STN001,Pune,Slow,3,2025-04-04,28,254.13,70.3,10831.84,23
STN001,Pune,Slow,3,2025-04-05,21,245.39,76.7,7279.11,35
STN001,Pune,Slow,3,2025-04-06,28,256.44,75.2,9294.63,29
STN001,Pune,Slow,3,2025-04-07,18,173.9,71.6,6778.85,41
STN001,Pune,Slow,3,2025-04-08,25,284.94,62.7,8385.21,41
STN001,Pune,Slow,3,2025-04-09,27,248.86,75.3,8108.53,29
STN001,Pune,Slow,3,2025-04-10,17,174.51,69.3,6090.68,29
STN001,Pune,Slow,3,2025-04-11,24,266.48,60.6,8514.14,26
STN001,Pune,Slow,3,2025-04-12,29,273.44,79.1,11103.71,56
STN001,Pune,Slow,3,2025-04-13,26,303.15,72.2,10110.06,57
STN001,Pune,Slow,3,2025-04-14,24,238.4,78.5,9351.41,60
STN001,Pune,Slow,3,2025-04-15,22,246.02,64.5,8571.1,58
STN001,Pune,Slow,3,2025-04-16,19,175.39,74.1,6205.3,66
STN001,Pune,Slow,3,2025-04-17,16,188.77,70.8,5273.61,48
STN001,Pune,Slow,3,2025-04-18,28,310.62,71.0,11050.37,41
STN001,Pune,Slow,3,2025-04-19,23,240.69,62.3,9030.94,58
STN001,Pune,Slow,3,2025-04-20,19,187.54,79.6,6360.66,51
STN001,Pune,Slow,3,2025-04-21,25,274.81,63.8,7863.59,54
STN001,Pune,Slow,3,2025-04-22,18,202.34,72.5,6901.24,31
STN001,Pune,Slow,3,2025-04-23,22,215.56,77.5,7552.54,59
STN001,Pune,Slow,3,2025-04-24,29,327.86,68.5,9871.76,60
STN001,Pune,Slow,3,2025-04-25,23,248.81,66.2,8840.95,56
STN001,Pune,Slow,3,2025-04-26,21,242.45,75.3,6876.5,27
STN001,Pune,Slow,3,2025-04-27,15,171.87,63.9,5305.48,61
STN001,Pune,Slow,3,2025-04-28,25,269.51,69.5,9284.16,26
STN001,Pune,Slow,3,2025-04-29,27,274.18,77.7,9322.92,22
STN001,Pune,Slow,3,2025-04-30,17,182.84,74.9,5619.53,24
STN001,Pune,Slow,3,2025-05-01,24,239.74,79.6,8410.31,64
STN001,Pune,Slow,3,2025-05-02,19,171.02,66.8,6615.69,43
STN001,Pune,Slow,3,2025-05-03,27,295.08,70.0,9082.31,65
STN001,Pune,Slow,3,2025-05-04,24,244.52,78.0,8804.13,47
STN001,Pune,Slow,3,2025-05-05,28,278.56,79.5,8582.2,37
STN001,Pune,Slow,3,2025-05-06,29,263.92,61.6,10949.06,29
STN001,Pune,Slow,3,2025-05-07,15,176.97,67.1,5309.11,57
STN001,Pune,Slow,3,2025-05-08,26,293.0,78.0,9681.1,52
STN001,Pune,Slow,3,2025-05-09,18,188.17,73.9,5990.15,33
STN001,Pune,Slow,3,2025-05-10,21,210.98,67.2,6582.06,40
STN001,Pune,Slow,3,2025-05-11,27,265.02,73.0,8349.67,41
STN001,Pune,Slow,3,2025-05-12,22,237.77,71.8,7737.5,60
STN001,Pune,Slow,3,2025-05-13,20,231.42,62.6,7920.66,64
STN001,Pune,Slow,3,2025-05-14,21,192.78,71.6,7962.54,62
STN001,Pune,Slow,3,2025-05-15,19,227.52,63.1,6611.6,66
STN001,Pune,Slow,3,2025-05-16,18,200.26,73.7,6757.76,63
STN001,Pune,Slow,3,2025-05-17,15,155.01,62.6,5972.82,68
STN001,Pune,Slow,3,2025-05-18,15,148.47,73.5,5188.35,55
STN001,Pune,Slow,3,2025-05-19,21,224.99,65.0,7401.52,68
STN001,Pune,Slow,3,2025-05-20,29,335.01,63.4,10704.47,65
STN001,Pune,Slow,3,2025-05-21,17,179.06,60.6,6388.05,55
STN001,Pune,Slow,3,2025-05-22,27,292.78,72.7,9611.85,64
STN001,Pune,Slow,3,2025-05-23,25,264.9,72.5,9646.8,63
STN001,Pune,Slow,3,2025-05-24,16,168.85,71.2,6234.24,59
STN001,Pune,Slow,3,2025-05-25,22,259.46,76.9,7267.51,43
STN001,Pune,Slow,3,2025-05-26,25,275.08,78.6,8249.23,66
STN001,Pune,Slow,3,2025-05-27,22,260.71,69.1,8746.39,25
STN001,Pune,Slow,3,2025-05-28,16,177.45,67.7,5930.0,45
STN001,Pune,Slow,3,2025-05-29,19,181.45,77.5,5705.27,40
STN001,Pune,Slow,3,2025-05-30,20,237.7,77.2,7057.0,22
STN001,Pune,Slow,3,2025-05-31,21,227.44,63.3,7224.22,48
STN001,Pune,Slow,3,2025-06-01,16,178.91,78.0,5258.75,22
STN001,Pune,Slow,3,2025-06-02,15,142.54,61.5,5198.63,49
STN001,Pune,Slow,3,2025-06-03,25,250.84,64.5,8367.64,63
STN001,Pune,Slow,3,2025-06-04,25,283.89,62.4,8411.79,29
STN001,Pune,Slow,3,2025-06-05,22,243.13,67.1,8350.55,37
STN001,Pune,Slow,3,2025-06-06,19,186.47,71.2,6111.97,30
STN001,Pune,Slow,3,2025-06-07,22,207.63,60.7,7385.65,53
STN001,Pune,Slow,3,2025-06-08,28,315.75,68.2,10834.46,28
STN001,Pune,Slow,3,2025-06-09,29,329.82,71.6,8801.97,24
STN001,Pune,Slow,3,2025-06-10,16,155.07,63.1,5403.37,62
STN001,Pune,Slow,3,2025-06-11,15,143.76,69.3,5978.2,57
STN001,Pune,Slow,3,2025-06-12,26,291.94,76.5,8422.91,67
STN001,Pune,Slow,3,2025-06-13,16,166.69,76.8,6103.71,58
STN001,Pune,Slow,3,2025-06-14,21,226.6,78.1,6925.72,44
STN001,Pune,Slow,3,2025-06-15,28,280.6,75.8,9487.38,57
STN001,Pune,Slow,3,2025-06-16,29,286.57,68.6,11137.23,39
STN001,Pune,Slow,3,2025-06-17,21,238.45,70.0,7187.96,36
STN001,Pune,Slow,3,2025-06-18,19,214.52,78.8,6446.88,46
STN001,Pune,Slow,3,2025-06-19,29,299.43,70.9,9176.21,21
STN001,Pune,Slow,3,2025-06-20,25,254.67,76.4,7777.14,22
STN001,Pune,Slow,3,2025-06-21,29,302.1,78.2,11377.83,39
STN001,Pune,Slow,3,2025-06-22,27,318.86,76.9,9890.61,49
STN001,Pune,Slow,3,2025-06-23,19,216.13,79.8,6289.93,58
STN001,Pune,Slow,3,2025-06-24,17,198.7,62.7,6478.14,41
STN001,Pune,Slow,3,2025-06-25,25,269.59,72.8,9143.14,68
STN001,Pune,Slow,3,2025-06-26,17,195.36,60.2,5342.09,35
STN001,Pune,Slow,3,2025-06-27,25,257.61,79.9,8866.69,46
STN001,Pune,Slow,3,2025-06-28,21,191.73,74.7,6622.03,64
STN001,Pune,Slow,3,2025-06-29,22,223.88,79.1,6859.67,40
STN001,Pune,Slow,3,2025-06-30,22,233.6,63.0,7706.26,62
STN002,Bengaluru,Slow,2,2025-01-01,19,206.18,68.6,6014.57,35
STN002,Bengaluru,Slow,2,2025-01-02,29,346.29,70.6,9538.24,41
STN002,Bengaluru,Slow,2,2025-01-03,27,295.61,79.7,9080.71,57
STN002,Bengaluru,Slow,2,2025-01-04,17,154.14,71.1,5110.37,28
STN002,Bengaluru,Slow,2,2025-01-05,29,318.3,61.7,9333.15,43
STN002,Bengaluru,Slow,2,2025-01-06,22,217.64,68.1,7598.86,41
STN002,Bengaluru,Slow,2,2025-01-07,24,254.64,71.9,8052.3,35
STN002,Bengaluru,Slow,2,2025-01-08,21,250.96,70.7,7843.48,68
STN002,Bengaluru,Slow,2,2025-01-09,17,185.69,73.8,5159.84,48
STN002,Bengaluru,Slow,2,2025-01-10,16,160.49,67.4,6354.55,46
STN002,Bengaluru,Slow,2,2025-01-11,20,237.78,62.0,7447.21,53
STN002,Bengaluru,Slow,2,2025-01-12,27,266.43,63.6,10713.16,29
STN002,Bengaluru,Slow,2,2025-01-13,16,183.55,67.6,5419.69,68
STN002,Bengaluru,Slow,2,2025-01-14,16,180.14,77.2,5895.72,21
STN002,Bengaluru,Slow,2,2025-01-15,19,173.39,75.3,7422.95,39
STN002,Bengaluru,Slow,2,2025-01-16,27,275.9,74.0,8829.1,65
STN002,Bengaluru,Slow,2,2025-01-17,21,222.69,69.8,6736.24,34
STN002,Bengaluru,Slow,2,2025-01-18,19,185.83,70.1,6190.63,69
STN002,Bengaluru,Slow,2,2025-01-19,26,264.26,70.3,9370.54,67
STN002,Bengaluru,Slow,2,2025-01-20,23,261.12,70.6,8893.68,20
STN002,Bengaluru,Slow,2,2025-01-21,24,261.4,77.2,8331.66,23
STN002,Bengaluru,Slow,2,2025-01-22,20,214.11,62.6,7267.78,42
STN002,Bengaluru,Slow,2,2025-01-23,19,207.2,75.8,7441.15,55
STN002,Bengaluru,Slow,2,2025-01-24,15,173.56,76.1,5477.15,35
STN002,Bengaluru,Slow,2,2025-01-25,16,172.63,70.4,4957.63,30
STN002,Bengaluru,Slow,2,2025-01-26,16,190.37,68.5,5170.62,46
STN002,Bengaluru,Slow,2,2025-01-27,16,153.13,64.0,6187.31,33
STN002,Bengaluru,Slow,2,2025-01-28,23,242.57,70.7,7675.88,34
STN002,Bengaluru,Slow,2,2025-01-29,21,228.92,75.8,7382.12,23
STN002,Bengaluru,Slow,2,2025-01-30,18,174.88,62.2,5884.36,60
STN002,Bengaluru,Slow,2,2025-01-31,27,319.54,67.0,8376.34,24
STN002,Bengaluru,Slow,2,2025-02-01,23,263.44,70.9,7274.59,68
STN002,Bengaluru,Slow,2,2025-02-02,17,184.9,69.2,6773.45,44
STN002,Bengaluru,Slow,2,2025-02-03,26,311.52,77.1,9559.16,69
STN002,Bengaluru,Slow,2,2025-02-04,15,175.0,79.9,4707.76,23
STN002,Bengaluru,Slow,2,2025-02-05,19,222.58,72.7,7535.53,60
STN002,Bengaluru,Slow,2,2025-02-06,29,271.62,79.0,9895.36,63
STN002,Bengaluru,Slow,2,2025-02-07,21,243.72,68.2,7656.1,24
STN002,Bengaluru,Slow,2,2025-02-08,17,197.78,77.6,6770.5,64
STN002,Bengaluru,Slow,2,2025-02-09,22,254.25,75.2,6840.77,50
STN002,Bengaluru,Slow,2,2025-02-10,19,176.72,61.2,6497.02,54
STN002,Bengaluru,Slow,2,2025-02-11,25,277.22,79.3,9060.14,54
STN002,Bengaluru,Slow,2,2025-02-12,16,176.27,77.4,5832.99,50
STN002,Bengaluru,Slow,2,2025-02-13,25,225.98,76.0,9583.44,47
STN002,Bengaluru,Slow,2,2025-02-14,27,281.28,60.5,10543.04,67
STN002,Bengaluru,Slow,2,2025-02-15,26,239.73,64.9,8060.1,36
STN002,Bengaluru,Slow,2,2025-02-16,29,329.34,66.4,9073.5,38
STN002,Bengaluru,Slow,2,2025-02-17,21,214.3,61.4,7937.71,56
STN002,Bengaluru,Slow,2,2025-02-18,20,236.9,75.5,6672.4,53
STN002,Bengaluru,Slow,2,2025-02-19,23,275.43,75.6,9174.44,26
STN002,Bengaluru,Slow,2,2025-02-20,25,296.6,64.4,7765.35,24
STN002,Bengaluru,Slow,2,2025-02-21,28,332.79,72.4,10829.45,45
STN002,Bengaluru,Slow,2,2025-02-22,26,270.58,65.0,9145.62,52
STN002,Bengaluru,Slow,2,2025-02-23,26,278.95,69.2,8708.1,56
STN002,Bengaluru,Slow,2,2025-02-24,23,227.64,73.8,8120.73,62
STN002,Bengaluru,Slow,2,2025-02-25,18,169.82,61.0,6289.8,69
STN002,Bengaluru,Slow,2,2025-02-26,27,288.69,77.3,10390.24,62
STN002,Bengaluru,Slow,2,2025-02-27,25,229.63,63.1,8085.16,58
STN002,Bengaluru,Slow,2,2025-02-28,27,260.59,69.2,8851.5,45
STN002,Bengaluru,Slow,2,2025-03-01,19,189.91,77.6,6953.68,62
STN002,Bengaluru,Slow,2,2025-03-02,20,211.39,65.3,6476.28,38
STN002,Bengaluru,Slow,2,2025-03-03,24,236.52,64.6,8331.42,27
STN002,Bengaluru,Slow,2,2025-03-04,24,219.55,75.3,7925.34,23
STN002,Bengaluru,Slow,2,2025-03-05,24,266.58,69.2,8217.52,20
STN002,Bengaluru,Slow,2,2025-03-06,23,214.45,63.0,7715.81,69
STN002,Bengaluru,Slow,2,2025-03-07,25,273.87,63.4,7916.02,61
STN002,Bengaluru,Slow,2,2025-03-08,29,335.81,72.3,10938.42,43
STN002,Bengaluru,Slow,2,2025-03-09,25,291.87,73.3,8319.77,34
STN002,Bengaluru,Slow,2,2025-03-10,20,228.71,65.9,6357.07,59
STN002,Bengaluru,Slow,2,2025-03-11,29,334.68,65.3,9125.79,23
STN002,Bengaluru,Slow,2,2025-03-12,26,263.48,77.1,9574.42,21
STN002,Bengaluru,Slow,2,2025-03-13,18,185.99,72.0,5432.83,44
STN002,Bengaluru,Slow,2,2025-03-14,20,183.79,63.9,7855.56,66
STN002,Bengaluru,Slow,2,2025-03-15,17,201.43,75.0,6030.05,46
STN002,Bengaluru,Slow,2,2025-03-16,25,288.09,73.2,9203.98,61
STN002,Bengaluru,Slow,2,2025-03-17,23,215.13,79.7,7190.6,38
STN002,Bengaluru,Slow,2,2025-03-18,15,138.71,60.2,5631.65,39
STN002,Bengaluru,Slow,2,2025-03-19,28,266.66,73.5,10502.42,53
STN002,Bengaluru,Slow,2,2025-03-20,23,214.94,66.2,9063.39,33
STN002,Bengaluru,Slow,2,2025-03-21,22,236.08,61.7,6858.84,57
STN002,Bengaluru,Slow,2,2025-03-22,19,212.85,69.3,6405.59,66
STN002,Bengaluru,Slow,2,2025-03-23,24,250.97,75.1,8246.35,34
STN002,Bengaluru,Slow,2,2025-03-24,18,206.3,68.8,5915.4,41
STN002,Bengaluru,Slow,2,2025-03-25,19,204.2,60.3,6226.2,51
STN002,Bengaluru,Slow,2,2025-03-26,23,235.58,61.6,7836.38,22
STN002,Bengaluru,Slow,2,2025-03-27,25,283.42,70.7,7839.12,67
STN002,Bengaluru,Slow,2,2025-03-28,22,254.31,75.0,7176.77,24
STN002,Bengaluru,Slow,2,2025-03-29,16,159.93,73.7,5816.81,40
STN002,Bengaluru,Slow,2,2025-03-30,26,295.1,63.6,8282.63,59
STN002,Bengaluru,Slow,2,2025-03-31,20,203.33,79.9,7132.26,62
STN002,Bengaluru,Slow,2,2025-04-01,22,260.88,60.5,7438.4,21
STN002,Bengaluru,Slow,2,2025-04-02,20,229.34,75.0,6980.96,26
STN002,Bengaluru,Slow,2,2025-04-03,29,320.93,71.2,10014.51,50
STN002,Bengaluru,Slow,2,2025-04-04,21,205.95,61.4,7958.07,56
STN002,Bengaluru,Slow,2,2025-04-05,26,295.03,68.4,8364.61,50
STN002,Bengaluru,Slow,2,2025-04-06,16,175.9,70.1,5875.94,61
STN002,Bengaluru,Slow,2,2025-04-07,17,187.82,74.9,6030.63,58
STN002,Bengaluru,Slow,2,2025-04-08,18,197.1,69.3,6151.59,48
STN002,Bengaluru,Slow,2,2025-04-09,27,246.14,68.1,8250.75,55
STN002,Bengaluru,Slow,2,2025-04-10,15,178.32,76.4,4714.23,28
STN002,Bengaluru,Slow,2,2025-04-11,29,280.18,62.2,11050.8,40
STN002,Bengaluru,Slow,2,2025-04-12,18,170.02,68.9,6526.12,24
STN002,Bengaluru,Slow,2,2025-04-13,26,274.96,62.9,9772.88,49
STN002,Bengaluru,Slow,2,2025-04-14,29,343.5,64.3,11481.66,26
STN002,Bengaluru,Slow,2,2025-04-15,22,259.05,69.8,8285.42,27
STN002,Bengaluru,Slow,2,2025-04-16,21,246.39,73.1,8312.53,66
STN002,Bengaluru,Slow,2,2025-04-17,25,267.16,78.8,7662.66,33
STN002,Bengaluru,Slow,2,2025-04-18,20,204.95,60.4,6955.68,58
STN002,Bengaluru,Slow,2,2025-04-19,24,251.7,71.7,7657.42,31
STN002,Bengaluru,Slow,2,2025-04-20,17,161.1,71.4,6233.53,33
STN002,Bengaluru,Slow,2,2025-04-21,20,233.24,63.6,7272.22,67
STN002,Bengaluru,Slow,2,2025-04-22,25,262.4,74.1,8176.12,23
STN002,Bengaluru,Slow,2,2025-04-23,25,282.96,62.2,9947.97,59
STN002,Bengaluru,Slow,2,2025-04-24,22,257.49,70.7,7803.74,66
STN002,Bengaluru,Slow,2,2025-04-25,29,286.18,63.8,9402.6,46
STN002,Bengaluru,Slow,2,2025-04-26,29,295.44,74.6,11276.22,40
STN002,Bengaluru,Slow,2,2025-04-27,20,213.94,61.1,6462.16,42
STN002,Bengaluru,Slow,2,2025-04-28,18,175.51,72.0,5912.67,65
STN002,Bengaluru,Slow,2,2025-04-29,26,307.23,65.1,8114.91,57
STN002,Bengaluru,Slow,2,2025-04-30,17,185.8,76.4,5592.63,51
STN002,Bengaluru,Slow,2,2025-05-01,19,219.67,75.4,6003.4,65
STN002,Bengaluru,Slow,2,2025-05-02,15,153.49,77.5,5434.08,57
STN002,Bengaluru,Slow,2,2025-05-03,17,189.04,69.6,5940.28,42
STN002,Bengaluru,Slow,2,2025-05-04,26,275.53,67.2,9846.18,35
STN002,Bengaluru,Slow,2,2025-05-05,24,234.77,77.1,7259.51,25
STN002,Bengaluru,Slow,2,2025-05-06,22,228.54,71.8,8463.7,55
STN002,Bengaluru,Slow,2,2025-05-07,24,281.86,66.4,7938.88,20
STN002,Bengaluru,Slow,2,2025-05-08,23,225.74,69.2,8055.55,44
STN002,Bengaluru,Slow,2,2025-05-09,23,239.62,61.0,8868.29,41
STN002,Bengaluru,Slow,2,2025-05-10,27,305.63,67.6,8352.86,44
STN002,Bengaluru,Slow,2,2025-05-11,16,150.67,64.9,5231.79,34
STN002,Bengaluru,Slow,2,2025-05-12,17,200.66,75.4,5431.55,32
STN002,Bengaluru,Slow,2,2025-05-13,29,326.16,67.5,10325.31,35
STN002,Bengaluru,Slow,2,2025-05-14,18,187.31,74.0,5461.97,21
STN002,Bengaluru,Slow,2,2025-05-15,20,211.8,76.5,7261.1,40
STN002,Bengaluru,Slow,2,2025-05-16,17,157.41,71.5,5774.4,68
STN002,Bengaluru,Slow,2,2025-05-17,28,275.13,67.1,10440.52,47
STN002,Bengaluru,Slow,2,2025-05-18,17,154.16,78.9,5770.02,40
STN002,Bengaluru,Slow,2,2025-05-19,26,301.51,77.9,9470.94,42
STN002,Bengaluru,Slow,2,2025-05-20,17,196.85,68.7,6719.2,65
STN002,Bengaluru,Slow,2,2025-05-21,18,214.01,78.8,5536.09,47
STN002,Bengaluru,Slow,2,2025-05-22,21,240.41,71.3,7878.39,51
STN002,Bengaluru,Slow,2,2025-05-23,20,225.66,66.8,7794.82,29
STN002,Bengaluru,Slow,2,2025-05-24,28,303.19,71.5,9721.89,41
STN002,Bengaluru,Slow,2,2025-05-25,16,179.48,74.3,5816.06,42
STN002,Bengaluru,Slow,2,2025-05-26,16,183.74,79.7,6203.38,54
STN002,Bengaluru,Slow,2,2025-05-27,15,159.04,79.8,5402.71,38
STN002,Bengaluru,Slow,2,2025-05-28,22,224.15,79.1,8239.71,40
STN002,Bengaluru,Slow,2,2025-05-29,15,140.32,67.2,5981.01,54
STN002,Bengaluru,Slow,2,2025-05-30,19,218.98,60.7,6380.39,40
STN002,Bengaluru,Slow,2,2025-05-31,27,318.98,76.7,9473.96,25
STN002,Bengaluru,Slow,2,2025-06-01,18,192.7,68.8,5602.72,57
STN002,Bengaluru,Slow,2,2025-06-02,27,245.46,62.8,9720.26,54
STN002,Bengaluru,Slow,2,2025-06-03,15,146.0,78.7,4878.12,31
STN002,Bengaluru,Slow,2,2025-06-04,25,249.61,73.7,9811.53,61
STN002,Bengaluru,Slow,2,2025-06-05,21,212.93,71.0,6764.53,31
STN002,Bengaluru,Slow,2,2025-06-06,20,200.66,71.6,6709.4,66
STN002,Bengaluru,Slow,2,2025-06-07,24,284.47,77.7,7851.19,45
STN002,Bengaluru,Slow,2,2025-06-08,25,265.37,72.8,8194.49,54
STN002,Bengaluru,Slow,2,2025-06-09,18,201.06,67.0,5734.78,25
STN002,Bengaluru,Slow,2,2025-06-10,21,244.93,64.3,7801.36,52
STN002,Bengaluru,Slow,2,2025-06-11,18,194.91,74.7,5913.91,62
STN002,Bengaluru,Slow,2,2025-06-12,18,215.14,73.4,5435.42,43
STN002,Bengaluru,Slow,2,2025-06-13,26,246.06,65.8,8893.37,25
STN002,Bengaluru,Slow,2,2025-06-14,15,151.39,67.7,5020.14,52
STN002,Bengaluru,Slow,2,2025-06-15,23,225.29,79.7,8999.27,65
STN002,Bengaluru,Slow,2,2025-06-16,22,250.29,65.4,8636.46,67
STN002,Bengaluru,Slow,2,2025-06-17,23,267.85,75.9,7113.03,54
STN002,Bengaluru,Slow,2,2025-06-18,27,278.73,75.3,8715.61,25
STN002,Bengaluru,Slow,2,2025-06-19,15,173.5,70.0,5664.92,29
